,Name of movie,Year of relase,Watchtime,Genre,Movie Rating,Metascore,Votes,Gross collection,Description,Certificate
373,Kill Bill: Vol. 2,2004,137 min,"Action, Crime, Thriller            ",8.0,83,"739,442",$66.21M,"The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd, and the treacherous, one-eyed Elle.",R
374,"Spring, Summer, Fall, Winter... and Spring",2003,103 min,"Drama, Romance            ",8.0,85,"82,308",$2.38M,A boy is raised by a Buddhist monk in an isolated floating temple where the years pass like the seasons.,R
375,The Sea Inside,I 2004,126 min,"Biography, Drama            ",8.0,74,"81,348",$2.09M,"The factual story of Spaniard Ramon Sampedro, who fought a 28 year campaign in favour of euthanasia and his own right to die.",PG-13
376,Cinderella Man,2005,144 min,"Biography, Drama, Romance            ",8.0,69,"185,923",$61.65M,"The story of James J. Braddock, a supposedly washed-up boxer who came back to challenge for the heavyweight championship of the world.",PG-13
377,Infernal Affairs,2002,101 min,"Action, Crime, Drama            ",8.0,75,"123,788",$0.17M,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",R
378,Pirates of the Caribbean: The Curse of the Black Pearl,2003,143 min,"Action, Adventure, Fantasy            ",8.0,63,"1,096,345",$305.41M,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.",PG-13
379,Big Fish,2003,125 min,"Adventure, Drama, Fantasy            ",8.0,58,"436,685",$66.26M,A frustrated son tries to determine the fact from fiction in his dying father's life.,PG-13
380,The Incredibles,2004,115 min,"Animation, Action, Adventure            ",8.0,90,"714,098",$261.44M,"While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.",PG
381,My Sassy Girl,2001,137 min,"Comedy, Drama, Romance            ",8.0,None,"47,884",None,"A young man sees a drunk, cute woman standing too close to the tracks at a metro station in Seoul and pulls her back. She ends up getting him into trouble repeatedly after that, starting on the train.",Not Rated
382,Dogville,2003,178 min,"Crime, Drama            ",8.0,60,"147,356",$1.53M,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",R
383,Vizontele,2001,110 min,"Comedy, Drama            ",8.0,None,"36,470",None,"Lives of residents in a small, Anatolian village change when television is introduced to them.",110 min
384,Donnie Darko,2001,113 min,"Drama, Mystery, Sci-Fi            ",8.0,88,"786,141",$1.48M,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes.",R
385,Magnolia,1999,188 min,Drama            ,8.0,77,"308,748",$22.46M,"An epic mosaic of interrelated characters in search of love, forgiveness, and meaning in the San Fernando Valley.",R
386,Neon Genesis Evangelion: The End of Evangelion,1997,87 min,"Animation, Action, Drama            ",8.0,None,"52,558",None,Concurrent theatrical ending of the TV series Neon Genesis Evangelion (1995).,TV-MA
387,The Straight Story,1999,112 min,"Biography, Drama            ",8.0,86,"89,577",$6.20M,An old man makes a long journey by lawnmower to mend his relationship with an ill brother.,G
388,Perfect Blue,1997,81 min,"Animation, Crime, Drama            ",8.0,None,"72,745",$0.78M,"A pop singer gives up her career to become an actress, but she slowly goes insane when she starts being stalked by an obsessed fan and what seems to be a ghost of her past.",R
389,Central Station,1998,110 min,Drama            ,8.0,80,"39,347",$5.60M,"The emotive journey of a former schoolteacher who writes letters for illiterate people, and a young boy whose mother has just died, as they search for the father he never knew.",R
390,The Legend of 1900,1998,169 min,"Drama, Music, Romance            ",8.0,58,"63,662",$0.26M,"A baby boy, discovered in 1900 on an ocean liner, grows into a musical prodigy, never setting foot on land.",R
391,"Black Cat, White Cat",1998,127 min,"Comedy, Crime, Romance            ",8.0,73,"53,470",$0.35M,Matko and his son Zare live on the banks of the Danube river and get by through hustling and basically doing anything to make a living. In order to pay off a business debt Matko agrees to marry off Zare to the sister of a local gangster.,R
392,In the Mood for Love,2000,98 min,"Drama, Romance            ",8.0,85,"145,669",$2.73M,"Two neighbors form a strong bond after both suspect extramarital activities of their spouses. However, they agree to keep their bond platonic so as not to commit similar wrongs.",PG
393,Sling Blade,1996,135 min,Drama            ,8.0,84,"93,301",$24.48M,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",R
394,Secrets & Lies,1996,136 min,"Comedy, Drama            ",8.0,91,"42,865",$13.42M,"Following the death of her adoptive parents, a successful young black optometrist establishes contact with her biological mother -- a lonely white factory worker living in poverty in East London.",R
395,12 Monkeys,1995,129 min,"Mystery, Sci-Fi, Thriller            ",8.0,74,"610,013",$57.14M,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",R
396,Dilwale Dulhania Le Jayenge,1995,181 min,"Drama, Romance            ",8.0,None,"68,478",None,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",Not Rated
397,Chungking Express,1994,102 min,"Comedy, Crime, Drama            ",8.0,78,"78,500",$0.60M,"Two melancholy Hong Kong policemen fall in love: one with a mysterious female underworld figure, the other with a beautiful and ethereal waitress at a late-night restaurant he frequents.",PG-13
398,Andaz Apna Apna,1994,160 min,"Action, Comedy, Romance            ",8.0,None,"52,950",None,Two slackers competing for the affections of an heiress inadvertently become her protectors from an evil criminal.,Not Rated
399,Scent of a Woman,1992,156 min,Drama            ,8.0,59,"289,959",$63.90M,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",R
400,Aladdin,1992,90 min,"Animation, Adventure, Comedy            ",8.0,86,"405,793",$217.35M,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,G
401,JFK,1991,189 min,"Drama, History, Thriller            ",8.0,72,"153,928",$70.41M,New Orleans District Attorney Jim Garrison discovers there's more to the Kennedy assassination than the official story.,R
402,Beauty and the Beast,1991,84 min,"Animation, Family, Fantasy            ",8.0,95,"444,695",$218.97M,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,G
403,Dances with Wolves,1990,181 min,"Adventure, Drama, Western            ",8.0,72,"261,543",$184.21M,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Native Americans, making him an intolerable aberration in the military.",PG-13
404,Rain Man,1988,133 min,Drama            ,8.0,65,"505,400",$178.80M,"After a selfish L.A. yuppie learns his estranged father left a fortune to an autistic-savant brother in Ohio that he didn't know existed, he absconds with his brother and sets out across the country, hoping to gain a larger inheritance.",R
405,Akira,1988,124 min,"Animation, Action, Drama            ",8.0,67,"182,005",$0.55M,"A secret military project endangers Neo-Tokyo when it turns a biker gang member into a rampaging psychic psychopath who can only be stopped by a teenager, his gang of biker friends and a group of psychics.",R
406,The Princess Bride,1987,98 min,"Adventure, Family, Fantasy            ",8.0,77,"421,888",$30.86M,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",PG
407,Wings of Desire,1987,128 min,"Drama, Fantasy, Romance            ",8.0,79,"70,192",$3.33M,"An angel tires of his purely ethereal life of merely overseeing the human activity of Berlin's residents, and longs for the tangible joys of physical existence when he falls in love with a mortal.",PG-13
408,"Goodbye, Children",1987,104 min,"Drama, War            ",8.0,88,"33,626",$4.54M,"A French boarding school run by priests seems to be a haven from World War II until a new student arrives. Occupying the next bed in the dormitory to the top student in his class, the two young boys begin to form a bond.",PG
409,Castle in the Sky,1986,125 min,"Animation, Adventure, Family            ",8.0,78,"163,638",None,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,PG
410,"Paris, Texas",1984,145 min,Drama            ,8.0,78,"104,086",$2.18M,"Travis Henderson, an aimless drifter who has been missing for four years, wanders out of the desert and must reconnect with society, himself, his life, and his family.",R
411,Nausicaä of the Valley of the Wind,1984,117 min,"Animation, Adventure, Sci-Fi            ",8.0,86,"166,689",$0.50M,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,PG
412,Nostalghia,1983,125 min,Drama            ,8.0,None,"26,717",$0.01M,"A Russian poet and his interpreter travel to Italy researching the life of an 18th-century composer, and instead meet a ruminative madman who tells the poet how the world may be saved.",Not Rated
413,Pink Floyd: The Wall,1982,95 min,"Drama, Fantasy, Music            ",8.0,47,"80,394",$22.24M,A confined but troubled rock star descends into madness in the midst of his physical and social isolation from everyone.,R
414,Fitzcarraldo,1982,158 min,"Adventure, Drama            ",8.0,None,"34,583",None,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle.",PG
415,Life of Brian,1979,94 min,Comedy            ,8.0,77,"393,933",$20.05M,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",R
416,Being There,1979,130 min,"Comedy, Drama            ",8.0,83,"71,863",$30.18M,"After the death of his employer forces him out of the only home he's ever known, a simpleminded, sheltered gardener becomes an unlikely trusted advisor to a powerful tycoon and an insider in Washington politics.",PG
